timestamp,rss_kib,process_swap_kib,gpu_used_mib,gpu_temp_c,read_bytes,system_pswpin,system_pswpout
1788803583,21073832,0,10518,57,16943874048,44837178,85341727
1788803584,22040864,0,10518,57,17460035584,44837276,85341727
1788803585,22851248,0,10518,57,17877540864,44837450,85341727
1788803586,23809152,0,10518,57,18516553728,44837478,85341727
1788803587,24524456,0,10518,58,18910683136,44837482,85341727
1788803588,25052692,0,10518,58,19184160768,44837526,85341727
1788803589,25829620,0,10518,58,19626881024,44837632,85341727
1788803590,26035956,0,10518,57,19755421696,44837657,85341727
1788803591,26035956,0,10518,57,19755421696,44837733,85341727
1788803592,26035956,0,10518,57,19755421696,44837738,85341727
1788803593,26035956,0,10518,57,19755421696,44837832,85341727
1788803594,26035956,0,10518,57,19755421696,44837897,85341727
1788803596,26035956,0,10518,57,19755421696,44838020,85341727
1788803597,26035956,0,10518,57,19755421696,44838127,85341727
1788803598,26168124,0,10518,57,19787423744,44838203,85341727
1788803599,26521984,0,10530,59,19982278656,44838295,85341727
1788803600,27536828,0,10530,58,20508704768,44838320,85341727
1788803601,28559772,0,10530,60,21091364864,44838408,85341727
1788803602,29540608,0,10530,58,21688860672,44838422,85341727
1788803603,30550632,0,10530,60,22335475712,44838507,85341727
1788803604,31620216,0,10530,58,23017488384,44838577,85341727
1788803605,32522980,0,10530,58,23625015296,44838592,85341727
1788803606,33050836,0,10530,59,24222756864,44838655,85341727
1788803607,33413572,0,10530,60,24404369408,44838676,85341727
1788803608,33867564,0,10530,61,24635305984,44838734,85341727
1788803609,34152072,0,10536,61,24736256000,44838777,85341727
1788803610,34815852,0,10536,62,25030615040,44839011,85341727
1788803611,35409028,0,10536,61,25378250752,44839191,85341727
1788803612,36055832,0,10536,61,25728159744,44839243,85341727
1788803613,36763408,0,10536,63,26184761344,44839268,85341727
1788803614,37224404,0,10536,60,26375360512,44839280,85341727
1788803615,37224404,0,10536,59,26375360512,44839286,85341727
1788803616,37224404,0,10536,58,26375360512,44839358,85341727
1788803617,37224404,0,10536,57,26375360512,44839592,85341727
1788803618,37224404,0,10536,57,26375360512,44839664,85341727
1788803619,37224404,0,10536,56,26375360512,44839675,85341727
1788803620,37224404,0,10536,56,26375360512,44839911,85341727
1788803621,37224404,0,10536,55,26375360512,44840803,85341727
1788803622,37224404,0,10536,55,26375360512,44841366,85341727
1788803623,37224404,0,10536,55,26375360512,44841574,85341727
1788803625,37224404,0,10536,54,26375360512,44841691,85341727
1788803626,37224404,0,10536,54,26375360512,44841903,85341727
1788803627,37224404,0,10536,53,26375360512,44841923,85341727
1788803628,37224404,0,10536,53,26375360512,44842008,85341727
1788803629,37224404,0,10536,53,26375360512,44844030,85341727
1788803630,37224404,0,10536,52,26375360512,44846986,85341727
1788803631,27662064,0,1882,52,26375368704,44847007,85341727
1788803632,0,0,1658,51,0,44847092,85341727
